"date","oil","gas"
2000-01-01,26.2,70.636
2000-01-08,26.07,71.04
2000-01-15,26.34,68.49
2000-01-22,24.95,65.137
2000-01-29,26.27,67.918
2000-02-05,29.37,75.117
2000-02-12,28.34,72.97
2000-02-19,28.08,76.106
2000-02-26,28.83,78.158
2000-03-04,29.87,82.272
2000-03-11,30.1,83.902
2000-03-18,31.07,96.146
2000-03-25,32.14,94.47
2000-04-01,31.29,89.112
2000-04-08,27.99,82.782
2000-04-15,26.92,83.912
2000-04-22,25.6,74.008
2000-04-29,24.87,68.426
2000-05-06,26.66,75.17
2000-05-13,25.95,74.32
2000-05-20,26.75,82.572
2000-05-27,28.7,86.412
2000-06-03,29.88,91.476
2000-06-10,29.46,91.034
2000-06-17,29.98,97.552
2000-06-24,29.79,94.63
2000-07-01,32.45,98.324
2000-07-08,33.55,95.482
2000-07-15,32.12,96.576
2000-07-22,30.4,82.88
2000-07-29,30.44,91.124
2000-08-05,30.65,87.964
2000-08-12,28.02,80.346
2000-08-19,28.5,85.38
2000-08-26,30.14,82.282
2000-09-02,31.82,87.35
2000-09-09,32.46,88.63
2000-09-16,33.08,94.028
2000-09-23,34.42,101.29
2000-09-30,34.7,96.904
2000-10-07,35.49,97.232
2000-10-14,31.13,89.716
2000-10-21,31.27,85.928
2000-10-28,33.9,94.558
2000-11-04,33.48,96.996
2000-11-11,33.92,101.716
2000-11-18,32.78,94.998
2000-11-25,33.46,94.35
2000-12-02,35,94.97
2000-12-09,35.91,97.862
2000-12-16,34.1,88.718
2000-12-23,29.69,75.12
2000-12-30,29.05,72.482
2001-01-06,27.38,71.674
2001-01-13,26.52,73.38
2001-01-20,27.8,78.395
2001-01-27,28.81,84.566
2001-02-03,30.63,84.41
2001-02-10,31.35,84.062
2001-02-17,29.59,83.138
2001-02-24,30.92,86.92
2001-03-03,29.67,82.914
2001-03-10,28.65,78.695
2001-03-17,27.91,78.066
2001-03-24,28.45,78.876
2001-03-31,27.02,76.22
2001-04-07,26.42,78.43
2001-04-14,26.86,80.806
2001-04-21,26.76,88.142
2001-04-28,28.27,95.777
2001-05-05,27.89,97.492
2001-05-12,26.99,96.742
2001-05-19,28.36,99.3
2001-05-26,28.12,96.92
2001-06-02,29.08,87.25
2001-06-09,28.92,93.904
2001-06-16,28.44,83.255
2001-06-23,27.98,76.36
2001-06-30,28.9,73.676
2001-07-07,27.09,70.078
2001-07-14,26.37,65.698
2001-07-21,26.87,66.705
2001-07-28,27.07,68.626
2001-08-04,25.26,66.71
2001-08-11,26.5,69.9
2001-08-18,27.1,72.104
2001-08-25,27.87,76.186
2001-09-01,27.52,77.936
2001-09-08,27.25,77.244
2001-09-15,26.84,81.874
2001-09-22,27.38,80.155
2001-09-29,28.22,83.875
2001-10-06,27.09,77.67
2001-10-13,22.35,63.332
2001-10-20,22.6,64.508
2001-10-27,22.66,61.566
2001-11-03,21.92,57.734
2001-11-10,21.78,58.07
2001-11-17,21.17,54.136
2001-11-24,20.7,54.162
2001-12-01,19.61,51.258
2001-12-08,18.28,49.5
2001-12-15,19.13,50.854
2001-12-22,19.47,50.796
2001-12-29,18.45,48.924
2002-01-05,19.2,52.26
2002-01-12,20.94,56.46
2002-01-19,20.8,57.155
2002-01-26,20.54,56.468
2002-02-02,18.61,51.486
2002-02-09,19.21,53.487
2002-02-16,19.71,54.114
2002-02-23,19.97,54.464
2002-03-02,21.18,57.006
2002-03-09,20.7,54.5
2002-03-16,21.43,55.722
2002-03-23,23.31,64.21
2002-03-30,24.4,71.766
2002-04-06,25.25,73.302
2002-04-13,25.86,72.447
2002-04-20,26.99,76.64
2002-04-27,25.24,73.542
2002-05-04,25.54,74.19
2002-05-11,26.46,73.064
2002-05-18,26.88,73.028
2002-05-25,27.27,69.182
2002-06-01,28.43,71.236
2002-06-08,27.18,71.206
2002-06-15,25.22,68.317
2002-06-22,25.01,70.632
2002-06-29,24.94,70.484
2002-07-06,25.61,72.2
2002-07-13,26.52,73.412
2002-07-20,26.81,74.173
2002-07-27,26.7,73.852
2002-08-03,27.62,78.832
2002-08-10,26.64,76.696
2002-08-17,26.87,78.286
2002-08-24,26.77,75.666
2002-08-31,28.52,76.692
2002-09-07,30.09,77.264
2002-09-14,28.84,77.954
2002-09-21,28.65,74.097
2002-09-28,29.59,77.16
2002-10-05,29.39,78.596
2002-10-12,30.63,80.056
2002-10-19,30.25,81.528
2002-10-26,29.37,82.216
2002-11-02,29.65,85.334
2002-11-09,27.88,82.11
2002-11-16,27.03,81.87
2002-11-23,25.97,83.066
2002-11-30,25.68,74.756
2002-12-07,26.98,73.326
2002-12-14,26.83,71.16
2002-12-21,27.14,72.57
2002-12-28,27.82,76.782
2003-01-04,30.35,83.532
2003-01-11,32.38,90.155
2003-01-18,31.96,86.945
2003-01-25,31.54,83.942
2003-02-01,33.04,86.672
2003-02-08,34.46,87.432
2003-02-15,33.19,93.508
2003-02-22,33.95,100.034
2003-03-01,35.79,100.768
2003-03-08,36.78,96.652
2003-03-15,36.98,100.328
2003-03-22,36.98,103.718
2003-03-29,36.66,102.622
2003-04-05,30.46,88.482
2003-04-12,30.43,88.076
2003-04-19,29.33,84.448
2003-04-26,28.03,79.884
2003-05-03,29.28,81.835
2003-05-10,28.43,80.158
2003-05-17,25.69,71.718
2003-05-24,26.58,71.846
2003-05-31,28.54,77.452
2003-06-07,29.29,78.946
2003-06-14,29.1,78.8
2003-06-21,30.68,82.6
2003-06-28,31.46,84.344
2003-07-05,30.6,78.196
2003-07-12,30.01,77.936
2003-07-19,30.31,83.147
2003-07-26,30.73,89.946
2003-08-02,31.48,87.626
2003-08-09,30.61,86.798
2003-08-16,30.73,88.336
2003-08-23,32.11,95.262
2003-08-30,31.31,99.498
2003-09-06,31.19,106.206
2003-09-13,31.56,103.488
2003-09-20,29.2,91.237
2003-09-27,28.92,92.72
2003-10-04,27.39,87.672
2003-10-11,27.73,91.596
2003-10-18,29.43,86.14
2003-10-25,30.69,89.54
2003-11-01,31.49,90.584
2003-11-08,30.17,86.254
2003-11-15,29.28,84.286
2003-11-22,29.79,82.37
2003-11-29,31.56,88.858
2003-12-06,32.58,93.386
2003-12-13,30.11,87.946
2003-12-20,30.63,85.374
2003-12-27,32.16,86.138
2004-01-03,33.2,90.398
2004-01-10,32.24,89.05
2004-01-17,32.68,93.893
2004-01-24,33.89,98.388
2004-01-31,34.51,98.93
2004-02-07,35.45,103.552
2004-02-14,33.61,99.242
2004-02-21,33.41,101.008
2004-02-28,33.88,102.214
2004-03-06,35.54,108.97
2004-03-13,36.08,107.566
2004-03-20,36.67,109.08
2004-03-27,36.44,104.478
2004-04-03,37.78,111.188
2004-04-10,36.65,110.492
2004-04-17,35.23,108.098
2004-04-24,35.7,105.392
2004-05-01,37.39,112.568
2004-05-08,37.32,111.974
2004-05-15,37.31,119.972
2004-05-22,39.24,131.214
2004-05-29,40.37,135.666
2004-06-05,40.84,137.588
2004-06-12,40.65,133.05
2004-06-19,40.01,121.94
2004-06-26,37.99,114.422
2004-07-03,37.86,113.732
2004-07-10,37.7,115.614
2004-07-17,37.14,113.254
2004-07-24,39.73,126.195
2004-07-31,40.33,126.204
2004-08-07,41.27,119.694
2004-08-14,42.5,120.124
2004-08-21,43.81,118.79
2004-08-28,45.24,122.234
2004-09-04,47.28,125.672
2004-09-11,44.34,118.788
2004-09-18,43.28,116.442
2004-09-25,43.33,119.002
2004-10-02,44.39,124.152
2004-10-09,47.82,131.556
2004-10-16,49.71,134.402
2004-10-23,51.77,137.446
2004-10-30,54.12,140.632
2004-11-06,54.43,138.51
2004-11-13,53.43,134.834
2004-11-20,49.81,128.12
2004-11-27,48,125.462
2004-12-04,47.02,125.138
2004-12-11,48.79,128.753
2004-12-18,46.06,118.618
2004-12-25,41.91,102.862
2005-01-01,43.5,107.892
2005-01-08,44.39,109.495
2005-01-15,42.52,103.382
2005-01-22,44.07,116.448
2005-01-29,46.79,122.356
2005-02-05,47.85,124.74
2005-02-12,48.56,131.746
2005-02-19,46.97,125.47
2005-02-26,46.08,119.302
2005-03-05,47.82,121.798
2005-03-12,51.75,124.457
2005-03-19,52.74,132.812
2005-03-26,54.22,141.872
2005-04-02,55.93,144.462
2005-04-09,52.95,149.557
2005-04-16,54.97,151.208
2005-04-23,55.24,152.43
2005-04-30,51.44,140.836
2005-05-07,52.39,149.958
2005-05-14,52,146.434
2005-05-21,50.64,138.546
2005-05-28,50.33,137.614
2005-06-04,47.77,134.772
2005-06-11,50.15,136.652
2005-06-18,53.76,145.75
2005-06-25,53.74,146.324
2005-07-02,56.18,150.902
2005-07-09,59.04,156.39
2005-07-16,58.21,153.164
2005-07-23,60.36,165.34
2005-07-30,59.18,157.754
2005-08-06,57.3,155.07
2005-08-13,59.39,159.986
2005-08-20,61.64,171.042
2005-08-27,64.85,185.076
2005-09-03,64.92,189.114
2005-09-10,66.34,185.928
2005-09-17,68.47,270.08
2005-09-24,64.81,215.675
2005-10-01,63.84,194.312
2005-10-08,66.43,202.392
2005-10-15,66.06,216.526
2005-10-22,63.06,194.286
2005-10-29,62.87,175.612
2005-11-05,62.28,163.434
2005-11-12,61.33,153.99
2005-11-19,60.34,152.362
2005-11-26,58.8,148.612
2005-12-03,57,143.92
2005-12-10,58.13,146.466
2005-12-17,57.78,148.428
2005-12-24,59.83,157.656
2005-12-31,60.32,163.408
2006-01-07,57.97,156.284
2006-01-14,59.82,164.912
2006-01-21,63.39,180.2
2006-01-28,63.74,173.042
2006-02-04,66.79,175.627
2006-02-11,66.82,167.432
2006-02-18,66.59,164.492
2006-02-25,63.06,148.34
2006-03-04,59.37,142.28
2006-03-11,59.93,151.725
2006-03-18,62.27,161.27
2006-03-25,60.89,163.27
2006-04-01,62.64,180.422
2006-04-08,61.36,178.276
2006-04-15,65.67,190.816
2006-04-22,66.56,200.168
2006-04-29,68.85,212.562
2006-05-06,71.87,230.11
2006-05-13,70.38,210.946
2006-05-20,72.14,210.984
2006-05-27,71.5,209.14
2006-06-03,69.07,196.24
2006-06-10,70.35,199.678
2006-06-17,71.53,208.747
2006-06-24,71.54,209.762
2006-07-01,69.48,198.398
2006-07-08,69.94,200.296
2006-07-15,72.65,215.424
2006-07-22,74.65,221.6
2006-07-29,75.21,220.476
2006-08-05,73.98,223.246
2006-08-12,73.87,227.65
2006-08-19,75.2,235.88
2006-08-26,75.63,215.552
2006-09-02,71.79,198.99
2006-09-09,72.12,188.782
2006-09-16,70.01,179.814
2006-09-23,67.53,164.872
2006-09-30,63.98,160.638
2006-10-07,61.4,152.668
2006-10-14,61.94,152.442
2006-10-21,59.77,151.54
2006-10-28,58.58,148.606
2006-11-04,58.48,148.97
2006-11-11,58.88,154.558
2006-11-18,58.55,148.1
2006-11-25,59.96,156.594
2006-12-02,57.56,156.836
2006-12-09,57.24,162.183
2006-12-16,62.02,169.704
2006-12-23,62.32,163.708
2006-12-30,61.91,166.03
2007-01-06,62.4,174.658
2007-01-13,60.66,161.562
2007-01-20,57.76,155.04
2007-01-27,54.11,141.8
2007-02-03,51.51,134.287
2007-02-10,53.57,140.67
2007-02-17,57.11,147.622
2007-02-24,58.99,154.496
2007-03-03,58.41,160.526
2007-03-10,59.57,172.935
2007-03-17,61.64,186.656
2007-03-24,60.85,189.73
2007-03-31,57.94,190.76
2007-04-07,58.26,193.008
2007-04-14,64.18,202.08
2007-04-21,64.82,203.982
2007-04-28,62.58,211.808
2007-05-05,63.06,203.218
2007-05-12,65.26,218.126
2007-05-19,63.82,220.648
2007-05-26,61.9,221.988
2007-06-02,63.61,231.732
2007-06-09,64.89,229.226
2007-06-16,63.94,218.27
2007-06-23,65.9,215.246
2007-06-30,66.62,214.192
2007-07-07,68.78,222.296
2007-07-14,69.13,222.062
2007-07-21,71.78,223.817
2007-07-28,72.79,225.678
2007-08-04,74.92,208.602
2007-08-11,75.15,201.902
2007-08-18,76.75,202.632
2007-08-25,71.92,192.442
2007-09-01,72.05,205.014
2007-09-08,70.19,195.468
2007-09-15,72.93,208.384
2007-09-22,75.96,206.93
2007-09-29,78.95,207.656
2007-10-06,82.26,214.778
2007-10-13,81.7,210.652
2007-10-20,80.59,206.776
2007-10-27,81.46,209.454
2007-11-03,87.8,221.596
2007-11-10,89.23,220.15
2007-11-17,93.46,236.508
2007-11-24,95.81,247.412
2007-12-01,93.56,241.134
2007-12-08,97.93,248.405
2007-12-15,92.47,234.002
2007-12-22,88.71,225.176
2007-12-29,91.18,230.744
2008-01-05,91.16,230.832
2008-01-12,95.64,244.252
2008-01-19,98.17,250.227
2008-01-26,94.76,237.472
2008-02-02,91.51,227.82
2008-02-09,89.41,226.01
2008-02-16,91.14,228.144
2008-02-23,89.08,221.858
2008-03-01,94.13,236.154
2008-03-08,99.61,252.66
2008-03-15,100.84,247.8
2008-03-22,103.44,249.224
2008-03-29,109.35,256.134
2008-04-05,105.28,239.222
2008-04-12,104.49,256.766
2008-04-19,103.46,251.506
2008-04-26,109.71,267.526
2008-05-03,114.33,281.878
2008-05-10,118.53,291.214
2008-05-17,115.42,283.692
2008-05-24,123.01,301.75
2008-05-31,124.96,306.678
2008-06-07,130.14,320.884
2008-06-14,128.47,324.072
2008-06-21,128.16,321.752
2008-06-28,134.8,333.06
2008-07-05,134.34,329.622
2008-07-12,137,331.874
2008-07-19,142.52,336.042
2008-07-26,139.95,329.496
2008-08-02,135.37,316.398
2008-08-09,125.92,297.87
2008-08-16,124.57,298.96
2008-08-23,118.8,289.422
2008-08-30,114.4,286.106
2008-09-06,115.7,288.37
2008-09-13,116.09,292.568
2008-09-20,108.37,287.435
2008-09-27,102.88,293.826
2008-10-04,97.19,289.178
2008-10-11,111.12,267.44
2008-10-18,96.59,239.404
2008-10-25,86.24,207.434
2008-11-01,75.19,194.898
2008-11-08,68.56,180.38
2008-11-15,65.21,159.028
2008-11-22,64.31,145.172
2008-11-29,58.6,131.33
2008-12-06,52.26,115.708
2008-12-13,53.27,119.005
2008-12-20,45.6,102.652
2008-12-27,44.57,97.918
2009-01-03,39.7,100.078
2009-01-10,32.98,84.195
2009-01-17,42.4,92.357
2009-01-24,44.46,109.048
2009-01-31,36.73,113.676
2009-02-07,42.15,116.2
2009-02-14,42.7,121.334
2009-02-21,40.78,125.118
2009-02-28,36.94,129.47
2009-03-07,37.15,113.025
2009-03-14,41.1,116.936
2009-03-21,43.18,124.278
2009-03-28,45.66,121.698
2009-04-04,49.49,129.92
2009-04-11,52.99,138.676
2009-04-18,50.34,132.82
2009-04-25,50.46,138.305
2009-05-02,49.86,142.14
2009-05-09,47.8,136.862
2009-05-16,50.2,137.85
2009-05-23,55.96,158.504
2009-05-30,57.94,166.012
2009-06-06,60.32,175.228
2009-06-13,64.32,183.75
2009-06-20,68.11,188.982
2009-06-27,70.85,196.368
2009-07-04,70.62,197.448
2009-07-11,68.58,181.186
2009-07-18,69.32,182.918
2009-07-25,61.48,165.168
2009-08-01,61.29,165.098
2009-08-08,65.28,180.94
2009-08-15,67.03,186.994
2009-08-22,71.58,198.67
2009-08-29,69.64,193.49
2009-09-05,70.8,191.15
2009-09-12,72.37,190.688
2009-09-19,68.39,182.402
2009-09-26,70.91,183.49
2009-10-03,71.32,183.538
2009-10-10,68.33,170.304
2009-10-17,68.84,171.092
2009-10-24,70.8,178.072
2009-10-31,75.73,189.9
2009-11-07,80.06,203.962
2009-11-14,78.47,204.188
2009-11-21,79,198.856
2009-11-28,78.24,196.05
2009-12-05,78.37,200.074
2009-12-12,76.14,197.45
2009-12-19,76.81,198.966
2009-12-26,71.51,185.918
2010-01-02,71.72,184.204
2010-01-09,74.76,191.065
2010-01-16,79.07,203.065
2010-01-23,82.34,212.404
2010-01-30,80.06,207.892
2010-02-06,76.62,201.027
2010-02-13,73.94,194.206
2010-02-20,74.57,188.456
2010-02-27,73.88,190.846
2010-03-06,78.25,203.058
2010-03-13,79.22,204.18
2010-03-20,80.19,212.652
2010-03-27,81.76,215.418
2010-04-03,81.44,215.02
2010-04-10,80.65,211.766
2010-04-17,83.01,219.093
2010-04-24,85.66,223.842
2010-05-01,84.34,220.512
2010-05-08,82.9,219.524
2010-05-15,84.22,226.046
2010-05-22,80.24,215.504
2010-05-29,74.98,209.884
2010-06-05,69.14,192.116
